date,stock,total_news,avg_sentiment_score,total_sentiment_score,positive_count,neutral_count,negative_count
2023-09-19,BBCA,1,1.3333333333333333,1.3333333333333333,1,0,0
2023-09-20,BBCA,1,3.0,3.0,1,0,0
2023-09-21,BBCA,2,-1.5833333333333335,-3.166666666666667,0,0,2
2023-09-25,BBCA,2,-2.8333333333333335,-5.666666666666667,0,0,2
2023-09-26,BBCA,3,-2.1666666666666665,-6.5,1,0,2
2023-09-27,BBCA,2,-0.5416666666666667,-1.0833333333333335,1,0,1
2023-09-30,BBCA,2,-0.125,-0.25,1,0,1
2023-10-02,BBCA,1,-0.25,-0.25,0,0,1
2023-10-03,BBCA,2,2.25,4.5,2,0,0
2023-10-04,BBCA,4,-0.5416666666666667,-2.166666666666667,3,0,1
2023-10-05,BBCA,3,-1.3333333333333333,-4.0,0,1,2
2023-10-06,BBCA,2,-0.8333333333333333,-1.6666666666666665,1,0,1
2023-10-07,BBCA,2,-1.8333333333333335,-3.666666666666667,0,0,2
2023-10-08,BBCA,1,1.5,1.5,1,0,0
2023-10-10,BBCA,1,0.5,0.5,1,0,0
2023-10-13,BBCA,1,2.0,2.0,1,0,0
2023-10-16,BBCA,2,1.5,3.0,2,0,0
2023-10-18,BBCA,2,1.75,3.5,1,1,0
2023-10-19,BBCA,8,1.3541666666666667,10.833333333333334,5,2,1
2023-10-20,BBCA,2,0.25,0.5,1,0,1
2023-10-21,BBCA,1,1.0,1.0,1,0,0
2023-10-22,BBCA,2,0.5,1.0,1,0,1
2023-10-25,BBCA,3,1.3333333333333333,4.0,3,0,0
2023-10-26,BBCA,2,-1.0,-2.0,1,0,1
2023-10-28,BBCA,1,0.75,0.75,1,0,0
2023-10-31,BBCA,3,0.888888888888889,2.666666666666667,2,0,1
2023-11-01,BBCA,1,4.0,4.0,1,0,0
2023-11-02,BBCA,2,2.583333333333333,5.166666666666666,2,0,0
2023-11-03,BBCA,1,1.5,1.5,1,0,0
2023-11-09,BBCA,1,1.2,1.2,1,0,0
2023-11-13,BBCA,1,0.4,0.4,1,0,0
2023-11-14,BBCA,2,2.5,5.0,2,0,0
2023-11-15,BBCA,1,2.0,2.0,1,0,0
2023-11-16,BBCA,1,3.0,3.0,1,0,0
2023-11-17,BBCA,2,-1.8333333333333333,-3.6666666666666665,1,0,1
2023-11-19,BBCA,1,2.5,2.5,1,0,0
2023-11-20,BBCA,1,-1.5,-1.5,0,0,1
2023-11-21,BBCA,3,1.0833333333333333,3.25,2,0,1
2023-11-22,BBCA,2,0.0,0.0,0,2,0
2023-11-23,BBCA,1,3.0,3.0,1,0,0
2023-11-24,BBCA,2,0.41666666666666663,0.8333333333333333,1,0,1
2023-11-25,BBCA,2,-0.6666666666666667,-1.3333333333333335,1,0,1
2023-11-27,BBCA,1,-0.5,-0.5,0,0,1
2023-11-29,BBCA,2,-1.05,-2.1,1,0,1
2023-11-30,BBCA,1,0.6666666666666666,0.6666666666666666,1,0,0
2023-12-03,BBCA,2,1.75,3.5,1,0,1
2023-12-04,BBCA,2,-0.25,-0.5,1,0,1
2023-12-06,BBCA,1,0.5,0.5,1,0,0
2023-12-07,BBCA,2,0.3333333333333333,0.6666666666666666,1,1,0
2023-12-08,BBCA,4,1.3333333333333335,5.333333333333334,3,1,0
2023-12-10,BBCA,1,3.0,3.0,1,0,0
2023-12-13,BBCA,1,4.0,4.0,1,0,0
2023-12-14,BBCA,1,-1.3333333333333333,-1.3333333333333333,0,0,1
2023-12-15,BBCA,3,-1.8666666666666665,-5.6,1,0,2
2023-12-18,BBCA,2,1.3333333333333333,2.6666666666666665,1,1,0
2023-12-19,BBCA,3,1.8888888888888886,5.666666666666666,3,0,0
