date,stock,open,high,low,close,volume,target_close_h1
2023-08-02,BBCA,8156.059596849524,8223.095703125,8156.059596849524,8223.095703125,60629900,8267.787109375
2023-08-03,BBCA,8178.405627111486,8312.477850506757,8178.405627111486,8267.787109375,64596100,8178.40576171875
2023-08-04,BBCA,8267.78724545338,8290.13261638704,8156.060390785093,8178.40576171875,52675900,8290.1328125
2023-08-07,BBCA,8178.405955188679,8290.1328125,8178.405955188679,8290.1328125,55589300,8223.095703125
2023-08-08,BBCA,8290.131809400476,8312.477178158968,8223.095703125,8223.095703125,43373400,8401.8583984375
2023-08-09,BBCA,8290.131558032746,8401.8583984375,8267.786189951796,8401.8583984375,77056800,8401.8583984375
2023-08-10,BBCA,8401.8583984375,8424.20376651845,8357.167662275599,8401.8583984375,76738100,8401.8583984375
2023-08-11,BBCA,8424.20376651845,8446.549134599401,8379.51303035655,8401.8583984375,68898600,8357.16796875
2023-08-14,BBCA,8334.822599849598,8357.16796875,8245.441124247995,8357.16796875,75495400,8312.4775390625
2023-08-15,BBCA,8334.822908791162,8379.513648248489,8312.4775390625,8312.4775390625,59303700,8312.4775390625
2023-08-16,BBCA,8290.132169333838,8334.822908791162,8267.786799605175,8312.4775390625,53440000,8267.787109375
2023-08-18,BBCA,8267.787109375,8357.168591638514,8267.787109375,8267.787109375,79328900,8200.75
2023-08-21,BBCA,8245.440735694823,8267.786103542234,8200.75,8200.75,73573000,8312.4775390625
2023-08-22,BBCA,8178.405320690524,8334.822908791162,8178.405320690524,8312.4775390625,65664600,8312.4775390625
2023-08-23,BBCA,8312.4775390625,8334.822908791162,8290.132169333838,8312.4775390625,63749800,8223.095703125
2023-08-24,BBCA,8267.786440641985,8334.82254691746,8223.095703125,8223.095703125,53725900,8290.1328125
2023-08-25,BBCA,8223.096698113208,8290.1328125,8200.751326650943,8290.1328125,50379000,8223.095703125
2023-08-28,BBCA,8267.786440641985,8267.786440641985,8223.095703125,8223.095703125,44423100,8267.787109375
2023-08-29,BBCA,8290.132479940878,8312.477850506757,8223.096368243243,8267.787109375,45428500,8223.095703125
2023-08-30,BBCA,8312.477178158968,8312.477178158968,8223.095703125,8223.095703125,56227000,8200.75
2023-08-31,BBCA,8223.09536784741,8245.440735694823,8133.713896457765,8200.75,136107200,8245.44140625
2023-09-01,BBCA,8223.096036585366,8290.132145579268,8200.750666920732,8245.44140625,42152700,8245.44140625
2023-09-04,BBCA,8245.44140625,8290.132145579268,8200.750666920732,8245.44140625,40610600,8245.44140625
2023-09-05,BBCA,8267.786775914634,8267.786775914634,8223.096036585366,8245.44140625,42007200,8178.40576171875
2023-09-06,BBCA,8223.096503586066,8267.78724545338,8178.40576171875,8178.40576171875,49318400,8200.75
2023-09-07,BBCA,8156.059264305177,8200.75,8133.713896457765,8200.75,61405200,8156.0595703125
2023-09-08,BBCA,8133.714201626712,8178.404938998287,8089.023464255137,8156.0595703125,80732300,8156.0595703125
2023-09-11,BBCA,8111.368832940924,8156.059570312499,8111.368832940924,8156.0595703125,53155900,8133.71484375
2023-09-12,BBCA,8133.71484375,8156.0602141998625,8111.369473300137,8133.71484375,66479000,8111.36865234375
2023-09-13,BBCA,8089.023284155475,8111.36865234375,8044.332547778926,8111.36865234375,69490200,8133.71484375
2023-09-14,BBCA,8044.333361950549,8156.0602141998625,8044.333361950549,8133.71484375,112757900,8044.33251953125
2023-09-15,BBCA,8089.023255750868,8133.713991970486,8044.33251953125,8044.33251953125,121005300,8044.33251953125
2023-09-18,BBCA,8089.023255750868,8111.368623860677,8044.33251953125,8044.33251953125,34272200,8111.36865234375
2023-09-19,BBCA,8044.332547778926,8111.36865234375,8021.987179590651,8111.36865234375,33325800,8178.40576171875
2023-09-20,BBCA,8156.060390785093,8200.751132652407,8111.369648917777,8178.40576171875,54305500,8156.0595703125
2023-09-21,BBCA,8156.059570312499,8178.404938998287,8111.368832940924,8156.0595703125,40607000,8111.36865234375
2023-09-22,BBCA,8156.0593887203,8178.404756908575,8111.36865234375,8111.36865234375,42445300,8044.33251953125
2023-09-25,BBCA,8111.368623860677,8111.368623860677,8044.33251953125,8044.33251953125,56132200,7999.6416015625
2023-09-26,BBCA,8044.332336766759,8066.677704368889,7999.641601562499,7999.6416015625,73544700,7932.6064453125
2023-09-27,BBCA,7954.951815580986,8044.33329665493,7932.6064453125,7932.6064453125,84345000,7887.91552734375
2023-09-29,BBCA,7887.91552734375,7954.951636641289,7887.91552734375,7887.91552734375,118960000,8111.36865234375
2023-10-02,BBCA,7954.951075025827,8133.714020532026,7932.605706837552,8111.36865234375,93663000,8223.095703125
2023-10-03,BBCA,8111.368859332541,8223.095703125,8066.678121815557,8223.095703125,98380200,8223.095703125
2023-10-04,BBCA,8223.095703125,8267.786440641985,8156.059596849524,8223.095703125,112582800,8111.36865234375
2023-10-05,BBCA,8223.095493285124,8223.095493285124,8111.36865234375,8111.36865234375,72855700,8066.6796875
2023-10-06,BBCA,8133.715806786703,8133.715806786703,8066.6796875,8066.6796875,53344400,8089.0244140625
2023-10-09,BBCA,8066.679042752936,8156.060527991195,8066.679042752936,8089.0244140625,43774500,7977.29736328125
2023-10-10,BBCA,8044.33347557773,8044.33347557773,7977.29736328125,7977.29736328125,71966100,7977.29736328125
2023-10-11,BBCA,7977.29736328125,8066.678846343225,7977.29736328125,7977.29736328125,84305800,8089.0244140625
2023-10-12,BBCA,8044.333671443371,8133.71515668163,8044.333671443371,8089.0244140625,71064500,8111.36865234375
2023-10-13,BBCA,8133.714020532026,8156.0593887203,8066.6779159672,8111.36865234375,62941800,8133.71484375
2023-10-16,BBCA,8156.0602141998625,8156.0602141998625,8089.024102850274,8133.71484375,29429200,7999.6416015625
2023-10-17,BBCA,8089.023071971019,8111.368439573149,7999.641601562499,7999.6416015625,59606000,7910.26025390625
2023-10-18,BBCA,7977.2963577529135,7999.641725701801,7910.26025390625,7910.26025390625,50919200,7820.87939453125
2023-10-19,BBCA,7887.915503627232,7910.260873325893,7820.87939453125,7820.87939453125,89509700,8021.9873046875
2023-10-20,BBCA,7798.53361932016,8066.678041760968,7798.53361932016,8021.9873046875,64554500,7910.26025390625
2023-10-23,BBCA,7932.6056218551375,7977.2963577529135,7910.26025390625,7910.26025390625,50633500,7843.22412109375
2023-10-24,BBCA,7843.22412109375,7932.605592559206,7843.22412109375,7843.22412109375,76963200,7932.6064453125
2023-10-25,BBCA,7887.915704775528,7977.297185849471,7887.915704775528,7932.6064453125,54748400,7798.533203125
2023-10-26,BBCA,7977.296141878582,7999.64150922278,7798.533203125,7798.533203125,63199400,7776.18896484375
2023-10-27,BBCA,7798.534335432381,7865.570447198276,7776.18896484375,7776.18896484375,52450700,7910.26025390625
2023-10-30,BBCA,7776.188046212924,7910.26025390625,7776.188046212924,7910.26025390625,51958200,7820.87939453125
2023-10-31,BBCA,7865.5701339285715,7887.915503627232,7798.534024832589,7820.87939453125,64907600,7686.8076171875
2023-11-01,BBCA,7820.879843068677,7843.225214048874,7686.8076171875,7686.8076171875,67027600,7910.26025390625
2023-11-02,BBCA,7798.533414161811,7954.950989804025,7798.533414161811,7910.26025390625,56050900,7954.95166015625
2023-11-03,BBCA,7977.297029988149,7999.642399820049,7910.260920492451,7954.95166015625,60414100,8089.0244140625
2023-11-06,BBCA,8021.988300133806,8089.0244140625,7999.642928824241,8089.0244140625,84994200,8021.9873046875
2023-11-07,BBCA,8044.332673224234,8066.678041760968,7954.951199077298,8021.9873046875,60648200,8044.33251953125
2023-11-08,BBCA,7999.641783311632,8044.33251953125,7954.951047092014,8044.33251953125,31829300,8044.33251953125
2023-11-09,BBCA,7954.951047092014,8089.023255750868,7954.951047092014,8044.33251953125,46076800,7887.91552734375
2023-11-10,BBCA,7999.642376172982,8044.333115704674,7887.91552734375,7887.91552734375,50754600,7932.6064453125
2023-11-13,BBCA,7932.6064453125,7977.297185849471,7910.261075044013,7932.6064453125,20827700,7977.29736328125
2023-11-14,BBCA,7954.951992515756,7999.642734046743,7932.606621750262,7977.29736328125,37195700,8089.0244140625
2023-11-15,BBCA,8021.988300133806,8089.0244140625,7999.642928824241,8089.0244140625,84977900,8111.36865234375
2023-11-16,BBCA,8089.023284155475,8111.36865234375,7999.641811402376,8111.36865234375,48714300,8111.36865234375
2023-11-17,BBCA,8066.6779159672,8111.36865234375,8021.987179590651,8111.36865234375,57050500,7932.6064453125
2023-11-20,BBCA,8021.987926386443,8066.678666923415,7932.6064453125,7932.6064453125,49216000,7843.22412109375
2023-11-21,BBCA,7887.914856826478,7954.95096042557,7843.22412109375,7843.22412109375,107614800,7932.6064453125
2023-11-22,BBCA,7843.224964238556,7932.6064453125,7843.224964238556,7932.6064453125,40364800,7977.29736328125
2023-11-23,BBCA,7910.261250984769,8021.988104812237,7910.261250984769,7977.29736328125,55542100,7977.29736328125
2023-11-24,BBCA,7977.29736328125,8021.988104812237,7954.951992515756,7977.29736328125,43631900,7932.6064453125
2023-11-27,BBCA,7954.951815580986,7999.642556117958,7932.6064453125,7932.6064453125,35679000,7932.6064453125
2023-11-28,BBCA,7932.6064453125,7999.642556117958,7910.261075044013,7932.6064453125,69070600,7954.95166015625
2023-11-29,BBCA,7954.95166015625,7999.642399820049,7954.95166015625,7954.95166015625,54715600,8021.9873046875
2023-11-30,BBCA,7977.296567614032,8021.9873046875,7954.951199077298,8021.9873046875,205312100,7999.6416015625
2023-12-01,BBCA,7977.29623396037,8021.986969164629,7954.95086635824,7999.6416015625,80566400,8015.35888671875
2023-12-04,BBCA,8037.810872395833,8105.166829427083,8015.35888671875,8015.35888671875,54747400,7992.90625
2023-12-05,BBCA,8037.810217696629,8037.810217696629,7925.550298455057,7992.90625,94363900,7903.09912109375
2023-12-06,BBCA,7948.003093372692,8037.811037930575,7903.09912109375,7903.09912109375,81852800,7925.5498046875
2023-12-07,BBCA,7858.193857338881,7925.5498046875,7835.741874889341,7925.5498046875,91322500,7858.19384765625
2023-12-08,BBCA,7903.0978125,7948.00177734375,7858.19384765625,7858.19384765625,43891600,7858.19384765625
2023-12-11,BBCA,7790.837900390625,7880.645830078125,7790.837900390625,7858.19384765625,78642800,7813.2900390625
